fidelity,fidelity_sd,fidelity_mcse,fidelity_nvalid,rmse,rmse_sd,rmse_mcse,rmse_nvalid,bias,bias_sd,bias_mcse,bias_nvalid,icc,icc_sd,icc_mcse,icc_nvalid,sign_accuracy,sign_accuracy_sd,sign_accuracy_mcse,sign_accuracy_nvalid,replications,n_obs,n_cycles,total_span_days,factor,level,seed
0.6609271278258285,0.0896308873983238,0.0028343775288078,1000,0.7216218855253606,0.0405447858087877,0.0012821387039944,1000,0.0991446381464166,0.1168623390479798,0.0036955116408644,1000,0.4169012701986462,0.070473923775955,0.0022285811478111,1000,0.7721025641025642,0.0674528416675765,0.0021330461432025,1000,1000,20,4,112.0,measurement_error,AR1_rho_0.3,26223521
0.7425625336509122,0.0685772307517397,0.0021686024480243,1000,0.688116705622731,0.0340945615418402,0.0010781647029699,1000,0.056779718192995,0.1076249259699796,0.0034033989907214,1000,0.4601097636802814,0.0598005060742308,0.001891058044253,1000,0.8190512820512822,0.0624593736977231,0.0019751388211241,1000,1000,30,4,112.0,measurement_error,AR1_rho_0.3,26223531
0.7713414614559335,0.0577374681045045,0.0018258190554155,1000,0.6845179775480367,0.0300888714975657,0.0009514936615642,1000,0.066162373785095,0.1089971639927383,0.0034467929671594,1000,0.4637111978581276,0.0520456038797082,0.0016458265045877,1000,0.8376410256410258,0.0589914639022134,0.0018654738843859,1000,1000,40,4,112.0,measurement_error,AR1_rho_0.3,26223541
0.8006658973578135,0.0521769684738451,0.0016499806178015,1000,0.6798751665359395,0.0285058226423997,0.0009014332612678,1000,0.0571861491104809,0.1092050590669131,0.0034533671866466,1000,0.4668239853042008,0.0485216265705214,0.0015343885573899,1000,0.8568974358974362,0.0548263111935026,0.0017337601907665,1000,1000,56,4,112.0,measurement_error,AR1_rho_0.3,26223557
0.5414147849857694,0.1156889635273652,0.0036584062489062,1000,0.7461324583601722,0.0539613153724731,0.0017064066211567,1000,0.0685478045418469,0.1215235687938373,0.0038429126678068,1000,0.402868654834314,0.0943879689540786,0.0029848096561214,1000,0.7177948717948717,0.0712880171534718,0.0022543250408212,1000,1000,10,1,28.0,contamination,outliers_2pct,26233211
0.6520149976940379,0.0865025014081551,0.0027354492775169,1000,0.7188598080451577,0.0386282038410265,0.001221531060589,1000,0.0658118307420711,0.1144214869643004,0.0036183251207045,1000,0.4142661028617074,0.0683004796372779,0.0021598508093574,1000,0.7685384615384616,0.0677780064472297,0.0021433287563882,1000,1000,20,1,28.0,contamination,outliers_2pct,26233221
0.7051879072081503,0.0774390779879634,0.0024488386634537,1000,0.7112967139174254,0.0336224087020736,0.0010632339191961,1000,0.0641335473257169,0.1092045015482778,0.0034533495563594,1000,0.4136585006569281,0.0613729582111554,0.0019407833468958,1000,0.7970000000000003,0.0646360643824054,0.0020439718243768,1000,1000,30,1,28.0,contamination,outliers_2pct,26233231
0.7401171287766289,0.0618755692949411,0.0019566773049159,1000,0.7096357753020843,0.0306937611839022,0.0009706219529839,1000,0.057725972100211,0.1129118922030158,0.0035705875428093,1000,0.4116750561199794,0.051848498694442,0.001639593491347,1000,0.8193589743589744,0.0588753195543602,0.0018618010776202,1000,1000,40,1,28.0,contamination,outliers_2pct,26233241
0.7662708818863759,0.0578982502766166,0.0018309034341258,1000,0.7092486024936916,0.0288846234514468,0.0009134119946288,1000,0.055899250459272,0.1129437826031787,0.0035715960058094,1000,0.4030490062382221,0.048763531410517,0.0015420382601039,1000,0.8351794871794873,0.0591087105660395,0.0018691815494434,1000,1000,56,1,28.0,contamination,outliers_2pct,26233257
0.5030949272176906,0.1224121710380921,0.0038710127380646,1000,0.7684971948099012,0.0557891852669636,0.0017642089424871,1000,0.1008158656372122,0.1253314043939342,0.0039633270023246,1000,0.3699669795228467,0.097782800417126,0.0030921636530778,1000,0.6947435897435896,0.0744933154956037,0.0023556854742362,1000,1000,10,2,56.0,contamination,outliers_2pct,26233311
0.6588655989704538,0.0855209386621908,0.0027044095380807,1000,0.716390666622102,0.0382070554225053,0.001208213178234,1000,0.0660140153083004,0.1173920859386648,0.003712263708444,1000,0.4208226113070262,0.0689879301870466,0.0021815899045175,1000,0.7736923076923078,0.0652825055184219,0.0020644140880072,1000,1000,20,2,56.0,contamination,outliers_2pct,26233321
0.7084702790263159,0.0748427761693567,0.0023667363910533,1000,0.7108360342828917,0.0337733185496196,0.0010680061075921,1000,0.0553717722950934,0.1181928013942393,0.0037375845544172,1000,0.4166679073751279,0.0594818045107834,0.0018809798159095,1000,0.7994102564102565,0.0608687182290461,0.0019248378785879,1000,1000,30,2,56.0,contamination,outliers_2pct,26233331
0.7378354962435915,0.0651593353061187,0.0020605191038996,1000,0.7104780449090903,0.0308891484378852,0.0009768006404674,1000,0.0619045407247952,0.1114883687230552,0.0035255717778153,1000,0.4103196643026666,0.0525063281039975,0.0016603958838074,1000,0.8177179487179489,0.0614468434550251,0.0019431198034568,1000,1000,40,2,56.0,contamination,outliers_2pct,26233341
0.7722022163558628,0.0579359733857266,0.0018320963435779,1000,0.7093189836534551,0.0287365471701865,0.0009087294114665,1000,0.0586379485529599,0.1132475027761101,0.0035812004809874,1000,0.4085368663984003,0.0506106705755179,0.001600449929271,1000,0.8406923076923078,0.0574877150507868,0.0018179211703922,1000,1000,56,2,56.0,contamination,outliers_2pct,26233357
0.5438152856083047,0.1133257455204243,0.0035836747338116,1000,0.7475636644804337,0.0522847348342554,0.0016533884893419,1000,0.0646261892151101,0.1163737050923142,0.0036800596784444,1000,0.404113272281598,0.0914811819736766,0.0028928889808115,1000,0.718051282051282,0.0719680231692071,0.0022758287191446,1000,1000,10,3,84.0,contamination,outliers_2pct,26233411
0.6534324453478797,0.0912336796571338,0.0028850622703471,1000,0.7191035787627372,0.0395778056512037,0.0012515601064928,1000,0.0606359918808348,0.1160650723348053,0.0036702998537018,1000,0.41526408545042,0.071512427531843,0.0022614215200835,1000,0.768897435897436,0.0674888100825864,0.002134183564355,1000,1000,20,3,84.0,contamination,outliers_2pct,26233421
