fidelity,fidelity_sd,fidelity_mcse,fidelity_nvalid,rmse,rmse_sd,rmse_mcse,rmse_nvalid,bias,bias_sd,bias_mcse,bias_nvalid,icc,icc_sd,icc_mcse,icc_nvalid,sign_accuracy,sign_accuracy_sd,sign_accuracy_mcse,sign_accuracy_nvalid,replications,obs_per_cycle,planned_total_obs,schedule,peak_sigma_days,missingness,mean_observed,median_e2_range,seed
0.6431450768390747,0.0903854370903716,0.0028582384851543,1000,0.7125501152358481,0.0414916378244871,0.0013120807937617,1000,0.0207170287930456,0.1133672720452158,0.0035849879178281,1000,0.4313963316873815,0.0725405102758886,0.0022939323510265,1000,0.7712820512820513,0.0665004156152886,0.0021029277869213,1000,1000,9,18,adaptive,1.0,mcar10,16.189846153846155,0.7652192880854316,26094112
0.6776318701705161,0.0859138264000946,0.002716833739246,1000,0.6989542622387908,0.0412227757524204,0.00130357862852,1000,0.0150559855438561,0.1087747304756562,0.00343975900174,1000,0.4520781970042414,0.0694447635166806,0.0021960362428447,1000,0.7844871794871796,0.0666554859102246,0.0021078315402157,1000,1000,10,20,adaptive,1.0,mcar10,18.00202564102564,0.8352688870388552,26094113
0.3400777004768169,0.1594310914025566,0.0050416537867856,1000,0.8622587582148276,0.0861195088930777,0.0027233379907725,1000,0.0153329815330549,0.1528056372756412,0.0048321385310455,1000,0.3020802354171638,0.1425644292510741,0.0045082830975532,1000,0.6388272260844239,0.0827282304329734,0.0026160963496345,1000,1000,3,6,adaptive,1.0,mcar25,4.499897435897436,0.4839802064203027,26095106
0.4116801102474743,0.1301322117465532,0.0041151418607442,1000,0.8104744963972043,0.0678697509627805,0.0021462299727079,1000,0.0049265225615674,0.1311171330170371,0.004146287806051,1000,0.3471356992059436,0.1127781688907487,0.0035663588403791,1000,0.6697638853819968,0.0730522110823753,0.002310113751317,1000,1000,4,8,adaptive,1.0,mcar25,6.000564102564103,0.5289905563877664,26095107
0.4742628314752602,0.1294213244144998,0.0040926616294537,1000,0.7747893725270324,0.0637934857377941,0.0020173271481289,1000,0.0131535153784511,0.1223765645355348,0.0038698867615887,1000,0.3804753459752046,0.1086374002656307,0.0034354162391877,1000,0.6926189012899538,0.0742885169607078,0.0023492091759188,1000,1000,5,10,adaptive,1.0,mcar25,7.518358974358974,0.6497856485487837,26095108
0.5054753284354356,0.1235769018322569,0.0039078447597696,1000,0.7604365778902652,0.0597155043305832,0.0018883700531029,1000,0.0224736606099023,0.1205876248933519,0.0038133155229301,1000,0.3874365613571405,0.1014738700669146,0.0032088855240343,1000,0.7082361673414306,0.074916131143253,0.0023690560790055,1000,1000,6,12,adaptive,1.0,mcar25,8.993794871794872,0.6439094672634804,26095109
0.5552664942825078,0.1101663102629834,0.0034837646184781,1000,0.7398537826281608,0.0514885548686322,0.0016282110681542,1000,0.0098267252543875,0.1168667040753548,0.00369564967515,1000,0.4117038283378476,0.0890133232242537,0.002814848434894,1000,0.7263906882591094,0.0702570280010332,0.0022217223011749,1000,1000,7,14,adaptive,1.0,mcar25,10.488641025641028,0.6702190915722017,26095110
0.5378164995551054,0.1119642140193927,0.0035406193273183,1000,0.7509451413575274,0.050233115153876,0.0015885105785176,1000,0.0243283535204332,0.1204364151251261,0.0038085338502095,1000,0.3788282795490192,0.0878338275944562,0.0027775495080902,1000,0.7202564102564103,0.0707130281543627,0.0022361422921539,1000,1000,8,16,adaptive,1.0,mcar25,12.00397435897436,0.6463051114144907,26095111
0.6058081184026064,0.0986230050713999,0.0031187332571596,1000,0.7231025106981464,0.0465571555504768,0.0014722665291825,1000,0.0164314872887743,0.1157653731646889,0.0036608225337975,1000,0.4237759805125845,0.0800638080723168,0.0025318399165509,1000,0.7495128205128205,0.0676096600728675,0.0021380051766,1000,1000,9,18,adaptive,1.0,mcar25,13.495179487179486,0.7648197642480437,26095112
0.6458035992172443,0.0928075403451293,0.0029348321152857,1000,0.7066430268059419,0.0443862621689737,0.0014036168527532,1000,0.0106828347741035,0.1157920942641778,0.0036616675291572,1000,0.4477593571115855,0.075802853285919,0.0023970966952308,1000,0.769846153846154,0.0669040754645197,0.0021156926321567,1000,1000,10,20,adaptive,1.0,mcar25,15.007641025641025,0.8285884197276798,26095113
0.403477436190841,0.1407112960492799,0.0044496818802997,1000,0.8133592430887684,0.0711992978664398,0.0022515194906271,1000,0.0062857271083734,0.1337796936988615,0.0042304853676807,1000,0.3384232602490982,0.1203386544206337,0.0038054423852909,1000,0.6629743589743589,0.0758559138673418,0.0023987746181435,1000,1000,3,6,adaptive,1.0,weekend,6.0,0.5372078627731973,26096106
0.3552792576856416,0.1457837791441765,0.0046100878800255,1000,0.8398312708750024,0.070627878358229,0.0022334496191731,1000,0.0313829946742863,0.1409006633993455,0.0044556702017065,1000,0.2961462011984625,0.1227356838903043,0.0038812431127179,1000,0.6396153846153845,0.0751179548339385,0.002375438304489,1000,1000,4,8,adaptive,1.0,weekend,6.0,0.3997903925744742,26096107
0.5543080744705825,0.1160977258884814,0.0036713324497349,1000,0.738980102463383,0.0540561932136852,0.0017094069219338,1000,0.0271310380639686,0.1163463819358496,0.0036791956443715,1000,0.412493773084016,0.0940496287434017,0.0029741103992238,1000,0.7273076923076922,0.0726134415700255,0.0022962386410483,1000,1000,5,10,adaptive,1.0,weekend,10.0,0.687660122689097,26096108
0.5026294676237073,0.1223099579259169,0.0038677804756526,1000,0.7640585030286849,0.0545102564972762,0.0017237656637138,1000,0.0390039052518601,0.1214830198975529,0.0038416303991182,1000,0.3664201387630408,0.0961648342904866,0.003040999071706,1000,0.7054871794871794,0.0744218488744645,0.0023534255012414,1000,1000,6,12,adaptive,1.0,weekend,10.0,0.5722955132483039,26096109
0.5583360300793424,0.1114446262578848,0.0035241885196112,1000,0.7368428259191069,0.0546526244546948,0.0017282677338265,1000,0.0138030790982056,0.118598254371918,0.0037504061033528,1000,0.4216592820677878,0.0925735138396795,0.002927431547385,1000,0.7252564102564102,0.0721406084237897,0.002281286344095,1000,1000,7,14,adaptive,1.0,weekend,10.0,0.688984514841303,26096110
0.5432769232239991,0.1137024537865019,0.0035955872951538,1000,0.7554322830833212,0.0480241261762448,0.0015186562135624,1000,0.0361143553701302,0.1260398690452136,0.0039857306217222,1000,0.3624266624269018,0.085839791101406,0.0027144925375349,1000,0.7220512820512821,0.0710403394773323,0.0022464927849994,1000,1000,8,16,adaptive,1.0,weekend,14.0,0.5722326495990318,26096111
0.6208839391500967,0.094968473225843,0.0030031668130238,1000,0.7232744808142137,0.042693812011705,0.0013500968795204,1000,0.0294908248570457,0.1149098658497978,0.0036337690170976,1000,0.4130482202051025,0.0743153328622155,0.0023500571691816,1000,0.7560256410256411,0.0673665319258733,0.002130316789522,1000,1000,9,18,adaptive,1.0,weekend,16.0,0.7656725411721528,26096112
0.605425979527058,0.1007971410020144,0.0031874854719951,1000,0.7251111014003353,0.0452553741197004,0.0014311005858129,1000,0.0232752034939051,0.1207883507786777,0.0038196630327599,1000,0.4168020821825851,0.0794911241804857,0.0025137300617762,1000,0.7483333333333334,0.0715589694139881,0.0022628933036252,1000,1000,10,20,adaptive,1.0,weekend,14.0,0.7685298566460912,26096113
0.4156752317790184,0.1350906589428599,0.0042719417287243,1000,0.8081042052911562,0.0700500170249594,0.0022151760393244,1000,0.0148282770080191,0.1287877590451421,0.004072626533316,1000,0.3488795410183834,0.1163506487542534,0.0036793305730167,1000,0.6675384615384614,0.0761917098035178,0.0024093934180169,1000,1000,3,6,adaptive,2.0,none,6.0,0.5712467785483069,26103106
0.5025076143842935,0.1241012294016702,0.0039244254533633,1000,0.7616419037431409,0.062352163837188,0.0019717485476549,1000,0.0039477528474432,0.1252490083548122,0.0039607214107866,1000,0.3949674652061726,0.1039337315615896,0.0032866731745515,1000,0.7057435897435897,0.0730636224672477,0.0023104746109915,1000,1000,4,8,adaptive,2.0,none,8.0,0.5705874711795886,26103107
0.5696996110047527,0.1071574732307393,0.0033886168371765,1000,0.7303522424349636,0.0528153495104521,0.0016701679987088,1000,0.0189448907468201,0.1185102635260158,0.0037476235884898,1000,0.4292766735430817,0.0891262975858493,0.0028184209978925,1000,0.7346923076923076,0.0678959766411212,0.0021470593014753,1000,1000,5,10,adaptive,2.0,none,10.0,0.7108694783899352,26103108
0.6031385550980136,0.0998921572624562,0.0031588673733709,1000,0.7199725934581096,0.048613821686218,0.0015373040229373,1000,0.009476305771178,0.1150315684947292,0.0036376175926501,1000,0.4355914143692787,0.0822993702159355,0.0026025345987977,1000,0.748,0.0672327606899173,0.0021260865716117,1000,1000,6,12,adaptive,2.0,none,12.0,0.6525509457320586,26103109
0.6336999375531509,0.0946754220199541,0.0029938997202071,1000,0.7094617123245283,0.0452391457983646,0.0014305874012326,1000,0.008317063437499,0.1148371892755829,0.003631470782027,1000,0.4436935246072496,0.0777689120284121,0.0024592689316304,1000,0.7597435897435898,0.0683717369845476,0.0021621041645314,1000,1000,7,14,adaptive,2.0,none,14.0,0.7195845814542238,26103110
